"study.id"	"effect.size.id"	"species"	"species.id"	"subphylum"	"phylum"	"assortment.trait"	"trait.dimensions"	"field.collection"	"publication.year"	"pooled.data"	"spatially.pooled.data"	"temporally.pooled.data"	"ri"	"ni"
"Schulte et al. 2010"	1376	"Argiope bruennichi"	"Argiope_bruennichi_ott1043550"	"Chelicerata"	"Arthropoda"	"tibia length"	"uni"	"yes"	2010	"no"	"no"	"no"	-0.01	199
"Schurch et al. 2010"	1377	"Neolamprologus pulcher"	"Neolamprologus_pulcher_--Daffodil--_ott311695"	"Teleostei"	"Chordata"	"standard length"	"uni"	"no"	2010	"no"	"no"	"no"	0.12	48
"Sear and Marlowe 2009"	1378	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body mass index"	"dimensionless"	"yes"	2009	"yes"	"yes"	"yes"	0.138	206
"Sear and Marlowe 2009"	1379	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2009	"yes"	"yes"	"yes"	0.103	206
"Sear and Marlowe 2009"	1380	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	2009	"yes"	"yes"	"yes"	0.103	206
"Sear and Marlowe 2009"	1381	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"per cent fat"	"dimensionless"	"yes"	2009	"yes"	"yes"	"yes"	-0.027	192
"Seki et al. 2012"	1382	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2012	"yes"	"yes"	"yes"	0.123	616
"Serbezov et al. 2010"	1383	"Salmo trutta"	"Salmo_trutta_oxianus_ott79094"	"Teleostei"	"Chordata"	"body length"	"uni"	"yes"	2010	"yes"	"no"	"yes"	0.323	153
"Sharma and Sharma 1984"	1384	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head breadth"	"uni"	"yes"	1984	"yes"	"no"	"yes"	0.11	96
"Sharma and Sharma 1984"	1385	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head height"	"uni"	"yes"	1984	"yes"	"no"	"yes"	0.06	97
"Sharma and Sharma 1984"	1386	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head length"	"uni"	"yes"	1984	"yes"	"no"	"yes"	-0.05	96
"Sharma and Sharma 1984"	1387	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head circumference"	"uni"	"yes"	1984	"yes"	"no"	"yes"	-0.09	97
"Sharma et al. 1984"	1388	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1984	"yes"	"yes"	"yes"	0.327	97
"Sheppard et al. 2013"	1389	"Anas platyrhynchos"	"Anas_platyrhynchos_platyrhynchos_ott190881"	"Aves"	"Chordata"	"body size index"	"dimensionless"	"yes"	2013	"yes"	"yes"	"yes"	0.13	132
"Sheppard et al. 2013"	1390	"Anas platyrhynchos"	"Anas_platyrhynchos_platyrhynchos_ott190881"	"Aves"	"Chordata"	"body size index"	"dimensionless"	"yes"	2013	"yes"	"yes"	"yes"	0.004	20
"Sheppard et al. 2013"	1391	"Anas platyrhynchos"	"Anas_platyrhynchos_platyrhynchos_ott190881"	"Aves"	"Chordata"	"body size index"	"dimensionless"	"yes"	2013	"yes"	"yes"	"yes"	0.25	116
"Sheppard et al. 2013"	1392	"Anas platyrhynchos"	"Anas_platyrhynchos_platyrhynchos_ott190881"	"Aves"	"Chordata"	"body size index"	"dimensionless"	"yes"	2013	"yes"	"yes"	"yes"	0.12	15
"Shine et al. 2001"	1393	"Thamnophis sirtalis parietalis"	"Thamnophis_sirtalis_parietalis_ott505604"	"Squamata"	"Chordata"	"snout-vent length"	"uni"	"yes"	2001	"yes"	"yes"	"no"	0.3	109
"Shine et al. 2004"	1394	"Thamnophis sirtalis parietalis"	"Thamnophis_sirtalis_parietalis_ott505604"	"Squamata"	"Chordata"	"snout-vent length"	"uni"	"yes"	2004	"no"	"no"	"no"	0.06	21
"Shuster 1981"	1395	"Thermosphaeroma thermophilum"	"Thermosphaeroma_thermophilum_ott2996425"	"Crustacea"	"Arthropoda"	"body area"	"bi"	"no"	1981	"no"	"no"	"no"	0.709	54
"Silva et al. 2008"	1396	"Coracias garrulus"	"Coracias_garrulus_ott372551"	"Aves"	"Chordata"	"weight"	"uni"	"yes"	2008	"yes"	"no"	"yes"	0.42	26
"Silva et al. 2008"	1397	"Coracias garrulus"	"Coracias_garrulus_ott372551"	"Aves"	"Chordata"	"wing length"	"uni"	"yes"	2008	"yes"	"no"	"yes"	0.3	27
"Silva et al. 2008"	1398	"Coracias garrulus"	"Coracias_garrulus_ott372551"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	2008	"yes"	"no"	"yes"	-0.02	27
"Silventoinen et al. 2003"	1399	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2003	"yes"	"yes"	"yes"	0.355	2804
"Smith 1946"	1400	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1946	"yes"	"yes"	"yes"	0.38	100
"Smith 1946"	1401	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1946	"yes"	"yes"	"yes"	0.13	100
"Smith 1946"	1402	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"chest circumference"	"uni"	"yes"	1946	"yes"	"yes"	"yes"	0.12	100
"Smith and Brockmann 2014"	1403	"Limulus polyphemus"	"Limulus_polyphemus_ott511973"	"Chelicerata"	"Arthropoda"	"carapace width"	"uni"	"yes"	2014	"yes"	"no"	"yes"	0.14	1310
"Smith and Brockmann 2014"	1404	"Limulus polyphemus"	"Limulus_polyphemus_ott511973"	"Chelicerata"	"Arthropoda"	"weight"	"uni"	"yes"	2014	"yes"	"no"	"yes"	0.1	807
"Snead and Alcock 1985"	1405	"Tegrodera aloga"	"Tegrodera_aloga_ott3357034"	"Insecta"	"Arthropoda"	"head width"	"uni"	"yes"	1985	"no"	"no"	"no"	0.04	121
"Snead and Alcock 1985"	1406	"Lytta magister"	"Lytta_magister_ott3356974"	"Insecta"	"Arthropoda"	"head width"	"uni"	"yes"	1985	"no"	"no"	"no"	0.41	71
"Snead and Alcock 1985"	1407	"Lytta magister"	"Lytta_magister_ott3356974"	"Insecta"	"Arthropoda"	"head width"	"uni"	"yes"	1985	"no"	"no"	"no"	0.27	55
"Sordalen et al. 2017"	1408	"Homarus gammarus"	"Homarus_gammarus_ott28244"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"no"	2017	"no"	"no"	"no"	0.518	31
"Sordalen et al. 2017"	1409	"Homarus gammarus"	"Homarus_gammarus_ott28244"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"no"	2017	"no"	"no"	"no"	0.226	16
"Sparkes et al. 2006"	1410	"Caecidotea intermedia"	"Caecidotea_intermedia_ott3000549"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	2006	"no"	"no"	"no"	0.5	247
"Sparkes et al. 2006"	1411	"Caecidotea intermedia"	"Caecidotea_intermedia_ott3000549"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	2006	"no"	"no"	"no"	0.31	144
"Sparkes et al. 2006"	1412	"Caecidotea intermedia"	"Caecidotea_intermedia_ott3000549"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	2006	"no"	"no"	"no"	0.56	86
"Sparkes et al. 2006"	1413	"Caecidotea intermedia"	"Caecidotea_intermedia_ott3000549"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	2006	"no"	"no"	"no"	0.27	28
"Spuhler 1962"	1414	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"middle finger length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.62	205
"Spuhler 1962"	1415	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimum wrist circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.55	205
"Spuhler 1962"	1416	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"interpalpebral breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.51	205
"Spuhler 1962"	1417	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"forearm length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.43	205
"Spuhler 1962"	1418	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"ear length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.4	205
"Spuhler 1962"	1419	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"ear lobe length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.4	205
"Spuhler 1962"	1420	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"mminimum waist circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.38	205
"Spuhler 1962"	1421	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bi-iliac breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.29	205
"Spuhler 1962"	1422	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"maximum arm circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.29	205
"Spuhler 1962"	1423	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"cervical height"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.26	205
"Spuhler 1962"	1424	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bipalpebral breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.25	205
"Spuhler 1962"	1425	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight at present marriage"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.23	205
"Spuhler 1962"	1426	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimum weight"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.22	205
"Spuhler 1962"	1427	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"maximum hip circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.22	205
"Spuhler 1962"	1428	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"maximum forearm circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.22	205
"Spuhler 1962"	1429	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimum neck circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.2	205
"Spuhler 1962"	1430	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.2	205
"Spuhler 1962"	1431	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"interpupillary breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.2	205
"Spuhler 1962"	1432	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"hand length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.18	205
"Spuhler 1962"	1433	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"hand breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.18	205
"Spuhler 1962"	1434	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"sitting height"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.18	205
"Spuhler 1962"	1435	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"biacromial breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.15	205
"Spuhler 1962"	1436	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"span length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.13	205
"Spuhler 1962"	1437	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bigonial breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.13	205
"Spuhler 1962"	1438	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bizygomatic breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.12	205
"Spuhler 1962"	1439	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"foot length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.11	205
"Spuhler 1962"	1440	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimum frontal breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.1	205
"Spuhler 1962"	1441	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"upper face height"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.1	205
"Spuhler 1962"	1442	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose breadth"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.09	205
"Spuhler 1962"	1443	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.08	205
"Spuhler 1962"	1444	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"maximum weight"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.08	205
"Spuhler 1962"	1445	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"maximum calf circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.07	205
"Spuhler 1962"	1446	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head length"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.07	205
"Spuhler 1962"	1447	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose height"	"uni"	"yes"	1962	"yes"	"no"	"yes"	0.05	205
"Spuhler 1962"	1448	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"total face height"	"uni"	"yes"	1962	"yes"	"no"	"yes"	-0.001	205
"Spuhler 1962"	1449	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimum ankle circumference"	"uni"	"yes"	1962	"yes"	"no"	"yes"	-0.02	205
"Spuhler 1962"	1450	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1962	"yes"	"yes"	"yes"	0.29	205
"Spuhler 1967"	1451	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head height"	"uni"	"yes"	1967	"yes"	"no"	"yes"	0.18	205
"Spuhler 1968"	1452	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1968	"yes"	"yes"	"yes"	0.15	77
"Spuhler 1968"	1453	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1968	"yes"	"yes"	"yes"	-0.18	77
"Spuhler 1968"	1454	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1968	"yes"	"yes"	"yes"	-0.18	77
"Spuhler unpublished"	1455	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bizygomatic breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.17	77
"Spuhler unpublished"	1456	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.15	76
"Spuhler unpublished"	1457	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"chest circumference"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.12	74
"Spuhler unpublished"	1458	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"relative sitting height"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.1	74
"Spuhler unpublished"	1459	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose height"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.09	77
"Spuhler unpublished"	1460	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bigonial breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.08	77
"Spuhler unpublished"	1461	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head length"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.07	77
"Spuhler unpublished"	1462	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"total face height"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.06	69
"Spuhler unpublished"	1463	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bi-iliac breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.05	63
"Spuhler unpublished"	1464	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"chest breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.05	76
"Spuhler unpublished"	1465	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"chest depth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.05	76
"Spuhler unpublished"	1466	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	0.01	77
"Spuhler unpublished"	1467	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head circumference"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.01	71
"Spuhler unpublished"	1468	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"biacromial breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.02	78
"Spuhler unpublished"	1469	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimum frontal breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.03	77
"Spuhler unpublished"	1470	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"hand length"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.04	78
"Spuhler unpublished"	1471	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"upper face height"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.07	71
"Spuhler unpublished"	1472	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"span length"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.08	77
"Spuhler unpublished"	1473	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"forearm length"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.1	78
"Spuhler unpublished"	1474	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"sitting height"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.11	76
"Spuhler unpublished"	1475	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"relative shoulder breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.12	77
"Spuhler unpublished"	1476	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head breadth"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.2	77
"Spuhler unpublished"	1477	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head height"	"uni"	"yes"	1982	"yes"	"no"	"yes"	-0.5	77
"Staessen et al. 1985"	1478	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1985	"yes"	"yes"	"yes"	0.29	191
"Staessen et al. 1985"	1479	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1985	"yes"	"yes"	"yes"	0.15	191
"Stark et al. 1990"	1480	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nasal height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.45	57
"Stark et al. 1990"	1481	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"facial height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.28	57
"Stark et al. 1990"	1482	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.13	57
"Stark et al. 1990"	1483	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head circumference"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.12	57
"Stark et al. 1990"	1484	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.11	57
"Stark et al. 1990"	1485	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"sitting height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.09	57
"Stark et al. 1990"	1486	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"chest circumference"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.08	57
"Stark et al. 1990"	1487	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.05	57
"Stark et al. 1990"	1488	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimal frontal breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	-0.04	57
"Stark et al. 1990"	1489	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bizygomatic breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	-0.06	57
"Stark et al. 1990"	1490	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"lip thickness"	"uni"	"yes"	1990	"yes"	"yes"	"no"	-0.09	57
"Stark et al. 1990"	1491	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nasal breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	-0.1	57
"Stark et al. 1990"	1492	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bigonial breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	-0.11	57
"Stark et al. 1990"	1493	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head length"	"uni"	"yes"	1990	"yes"	"yes"	"no"	-0.18	57
"Stark et al. 1990"	1494	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"calf circumference"	"uni"	"yes"	1990	"yes"	"yes"	"no"	-0.3	57
"Stark et al. 1990"	1495	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"sitting height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.57	89
"Stark et al. 1990"	1496	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"lip thickness"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.45	89
"Stark et al. 1990"	1497	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"sitting height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.4	190
"Stark et al. 1990"	1498	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"chest circumference"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.34	190
"Stark et al. 1990"	1499	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"calf circumference"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.32	190
"Stark et al. 1990"	1500	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.29	190
"Stark et al. 1990"	1501	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.27	89
"Stark et al. 1990"	1502	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nasal height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.26	190
"Stark et al. 1990"	1503	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nasal breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.2	190
"Stark et al. 1990"	1504	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head length"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.2	190
"Stark et al. 1990"	1505	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bigonial breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.2	190
"Stark et al. 1990"	1506	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bigonial breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.19	89
"Stark et al. 1990"	1507	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.18	190
"Stark et al. 1990"	1508	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"lip thickness"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.17	190
"Stark et al. 1990"	1509	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"minimal frontal breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.15	190
"Stark et al. 1990"	1510	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head circumference"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.14	190
"Stark et al. 1990"	1511	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"bizygomatic breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.13	190
"Stark et al. 1990"	1512	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"facial height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.12	89
"Stark et al. 1990"	1513	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nasal breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.11	89
"Stark et al. 1990"	1514	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.08	89
"Stark et al. 1990"	1515	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"head breadth"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.07	89
"Stark et al. 1990"	1516	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"chest circumference"	"uni"	"yes"	1990	"yes"	"yes"	"no"	0.06	89
